level,unit,season,metric,variant,n,spearman_rho,p
site,fmi_100971,NDJFM,frost_days,anom_dt,77,-0.0465,0.6879
site,fmi_100971,NDJFM,ice_days,value,77,-0.0192,0.8681
site,fmi_100971,NDJFM,ice_days,anom,77,-0.0192,0.8681
site,fmi_100971,NDJFM,ice_days,anom_dt,77,-0.0455,0.6942
site,fmi_100971,NDJFM,precip,value,77,-0.1482,0.1982
site,fmi_100971,NDJFM,precip,anom,77,-0.1482,0.1982
site,fmi_100971,NDJFM,precip,anom_dt,77,-0.1569,0.1731
site,fmi_100971,NDJFM,precip_days,value,77,-0.1365,0.2366
site,fmi_100971,NDJFM,precip_days,anom,77,-0.1365,0.2366
site,fmi_100971,NDJFM,precip_days,anom_dt,77,-0.1372,0.2343
site,fmi_100971,NDJFM,rain_on_snow_days,value,77,-0.0263,0.8201
site,fmi_100971,NDJFM,rain_on_snow_days,anom,77,-0.0263,0.8201
site,fmi_100971,NDJFM,rain_on_snow_days,anom_dt,77,-0.0363,0.7541
site,fmi_100971,NDJFM,snow_cover_days,value,77,-0.1138,0.3242
site,fmi_100971,NDJFM,snow_cover_days,anom,77,-0.1138,0.3242
site,fmi_100971,NDJFM,snow_cover_days,anom_dt,77,-0.1016,0.3793
site,fmi_100971,NDJFM,snow_depth,value,77,-0.0817,0.4801
site,fmi_100971,NDJFM,snow_depth,anom,77,-0.0817,0.4801
site,fmi_100971,NDJFM,snow_depth,anom_dt,77,-0.1075,0.3522
site,fmi_100971,NDJFM,snow_max,value,77,-0.0773,0.5042
site,fmi_100971,NDJFM,snow_max,anom,77,-0.0773,0.5042
site,fmi_100971,NDJFM,snow_max,anom_dt,77,-0.0915,0.4284
site,fmi_100971,NDJFM,thaw_days,value,77,0.0229,0.8433
site,fmi_100971,NDJFM,thaw_days,anom,77,0.0229,0.8433
site,fmi_100971,NDJFM,thaw_days,anom_dt,77,0.0509,0.6603
site,fmi_100971,NDJFM,tmax_mean,value,77,0.0320,0.7822
site,fmi_100971,NDJFM,tmax_mean,anom,77,0.0320,0.7822
site,fmi_100971,NDJFM,tmax_mean,anom_dt,77,0.0306,0.7917
site,fmi_100971,NDJFM,tmean,value,77,0.0247,0.8310
site,fmi_100971,NDJFM,tmean,anom,77,0.0247,0.8310
site,fmi_100971,NDJFM,tmean,anom_dt,77,0.0266,0.8184
site,fmi_100971,NDJFM,tmin_mean,value,77,0.0264,0.8197
site,fmi_100971,NDJFM,tmin_mean,anom,77,0.0264,0.8197
site,fmi_100971,NDJFM,tmin_mean,anom_dt,77,0.0236,0.8386
site,fmi_101065,DJF,frost_days,value,65,0.0385,0.7605
site,fmi_101065,DJF,frost_days,anom,65,0.0385,0.7605
site,fmi_101065,DJF,frost_days,anom_dt,65,0.0368,0.7711
site,fmi_101065,DJF,ice_days,value,65,0.0119,0.9249
site,fmi_101065,DJF,ice_days,anom,65,0.0119,0.9249
site,fmi_101065,DJF,ice_days,anom_dt,65,0.0097,0.9386
site,fmi_101065,DJF,precip,value,47,-0.1480,0.3207
site,fmi_101065,DJF,precip,anom_dt,47,-0.1705,0.2520
site,fmi_101065,DJF,precip_days,value,47,-0.1494,0.3162
site,fmi_101065,DJF,precip_days,anom_dt,47,-0.1526,0.3057
site,fmi_101065,DJF,rain_on_snow_days,value,47,-0.2319,0.1168
site,fmi_101065,DJF,rain_on_snow_days,anom_dt,47,-0.2068,0.1631
site,fmi_101065,DJF,snow_cover_days,value,47,-0.1427,0.3385
site,fmi_101065,DJF,snow_cover_days,anom_dt,47,-0.1414,0.3432
site,fmi_101065,DJF,snow_depth,value,47,-0.1004,0.5020
site,fmi_101065,DJF,snow_depth,anom_dt,47,-0.1004,0.5018
site,fmi_101065,DJF,snow_max,value,47,-0.1349,0.3658
site,fmi_101065,DJF,snow_max,anom_dt,47,-0.1359,0.3625
site,fmi_101065,DJF,thaw_days,value,65,0.0023,0.9855
site,fmi_101065,DJF,thaw_days,anom,65,0.0023,0.9855
site,fmi_101065,DJF,thaw_days,anom_dt,65,-0.0128,0.9196
site,fmi_101065,DJF,tmax_mean,value,65,-0.0018,0.9888
site,fmi_101065,DJF,tmax_mean,anom,65,-0.0018,0.9888
site,fmi_101065,DJF,tmax_mean,anom_dt,65,-0.0269,0.8315
site,fmi_101065,DJF,tmean,value,65,-0.0134,0.9154
site,fmi_101065,DJF,tmean,anom,65,-0.0134,0.9154
site,fmi_101065,DJF,tmean,anom_dt,65,-0.0309,0.8072
site,fmi_101065,DJF,tmin_mean,value,65,-0.0546,0.6658
site,fmi_101065,DJF,tmin_mean,anom,65,-0.0546,0.6658
site,fmi_101065,DJF,tmin_mean,anom_dt,65,-0.0374,0.7676
site,fmi_101065,JFM,frost_days,value,66,-0.0530,0.6725
site,fmi_101065,JFM,frost_days,anom,66,-0.0530,0.6725
site,fmi_101065,JFM,frost_days,anom_dt,66,-0.0984,0.4320
site,fmi_101065,JFM,ice_days,value,66,0.0162,0.8974
site,fmi_101065,JFM,ice_days,anom,66,0.0162,0.8974
site,fmi_101065,JFM,ice_days,anom_dt,66,-0.0356,0.7765
site,fmi_101065,JFM,precip,value,47,-0.1948,0.1895
site,fmi_101065,JFM,precip,anom_dt,47,-0.2099,0.1568
site,fmi_101065,JFM,precip_days,value,47,-0.2086,0.1594
site,fmi_101065,JFM,precip_days,anom_dt,47,-0.1982,0.1817
site,fmi_101065,JFM,rain_on_snow_days,value,47,-0.1317,0.3777
site,fmi_101065,JFM,rain_on_snow_days,anom_dt,47,-0.1515,0.3092
site,fmi_101065,JFM,snow_cover_days,value,47,-0.2056,0.1656
site,fmi_101065,JFM,snow_cover_days,anom_dt,47,-0.1946,0.1900
site,fmi_101065,JFM,snow_depth,value,47,-0.1058,0.4790
site,fmi_101065,JFM,snow_depth,anom_dt,47,-0.1045,0.4846
site,fmi_101065,JFM,snow_max,value,47,-0.1230,0.4102
site,fmi_101065,JFM,snow_max,anom_dt,47,-0.1624,0.2754
site,fmi_101065,JFM,thaw_days,value,66,0.0026,0.9832
site,fmi_101065,JFM,thaw_days,anom,66,0.0026,0.9832
site,fmi_101065,JFM,thaw_days,anom_dt,66,0.0479,0.7024
site,fmi_101065,JFM,tmax_mean,value,66,-0.0414,0.7416
site,fmi_101065,JFM,tmax_mean,anom,66,-0.0414,0.7416
site,fmi_101065,JFM,tmax_mean,anom_dt,66,-0.0245,0.8450
site,fmi_101065,JFM,tmean,value,66,-0.0415,0.7410
site,fmi_101065,JFM,tmean,anom,66,-0.0415,0.7410
site,fmi_101065,JFM,tmean,anom_dt,66,-0.0402,0.7487
site,fmi_101065,JFM,tmin_mean,value,66,-0.0434,0.7294
site,fmi_101065,JFM,tmin_mean,anom,66,-0.0434,0.7294
site,fmi_101065,JFM,tmin_mean,anom_dt,66,-0.0446,0.7221
site,fmi_101065,NDJFM,frost_days,value,65,-0.0842,0.5051
site,fmi_101065,NDJFM,frost_days,anom,65,-0.0842,0.5051
site,fmi_101065,NDJFM,frost_days,anom_dt,65,-0.0736,0.5600
site,fmi_101065,NDJFM,ice_days,value,65,0.0099,0.9378
site,fmi_101065,NDJFM,ice_days,anom,65,0.0099,0.9378
site,fmi_101065,NDJFM,ice_days,anom_dt,65,0.0042,0.9738
site,fmi_101065,NDJFM,precip,value,47,-0.0598,0.6898
site,fmi_101065,NDJFM,precip,anom_dt,47,-0.0746,0.6183
site,fmi_101065,NDJFM,precip_days,value,47,-0.0473,0.7522
site,fmi_101065,NDJFM,precip_days,anom_dt,47,-0.0235,0.8752
site,fmi_101065,NDJFM,rain_on_snow_days,value,47,-0.1343,0.3682
site,fmi_101065,NDJFM,rain_on_snow_days,anom_dt,47,-0.1432,0.3369
site,fmi_101065,NDJFM,snow_cover_days,value,47,-0.1409,0.3449
site,fmi_101065,NDJFM,snow_cover_days,anom_dt,47,-0.1457,0.3284
site,fmi_101065,NDJFM,snow_depth,value,47,-0.1556,0.2963
site,fmi_101065,NDJFM,snow_depth,anom_dt,47,-0.1077,0.4713
site,fmi_101065,NDJFM,snow_max,value,47,-0.1051,0.4822
site,fmi_101065,NDJFM,snow_max,anom_dt,47,-0.1406,0.3458
site,fmi_101065,NDJFM,thaw_days,value,65,0.0032,0.9797
site,fmi_101065,NDJFM,thaw_days,anom,65,0.0032,0.9797
site,fmi_101065,NDJFM,thaw_days,anom_dt,65,0.0007,0.9959
site,fmi_101065,NDJFM,tmax_mean,value,65,-0.0169,0.8935
site,fmi_101065,NDJFM,tmax_mean,anom,65,-0.0172,0.8917
site,fmi_101065,NDJFM,tmax_mean,anom_dt,65,-0.0091,0.9427
site,fmi_101065,NDJFM,tmean,value,65,-0.0136,0.9147
site,fmi_101065,NDJFM,tmean,anom,65,-0.0136,0.9147
site,fmi_101065,NDJFM,tmean,anom_dt,65,-0.0279,0.8253
site,fmi_101065,NDJFM,tmin_mean,value,65,0.0049,0.9693
site,fmi_101065,NDJFM,tmin_mean,anom,65,0.0049,0.9693
site,fmi_101065,NDJFM,tmin_mean,anom_dt,65,-0.0090,0.9430
site,fmi_101104,DJF,frost_days,value,67,0.0031,0.9801
site,fmi_101104,DJF,frost_days,anom,67,0.0031,0.9801
site,fmi_101104,DJF,frost_days,anom_dt,67,0.0058,0.9627
site,fmi_101104,DJF,ice_days,value,67,0.0012,0.9922
site,fmi_101104,DJF,ice_days,anom,67,0.0012,0.9922
site,fmi_101104,DJF,ice_days,anom_dt,67,-0.0081,0.9482
site,fmi_101104,DJF,precip,value,67,-0.0758,0.5422
site,fmi_101104,DJF,precip,anom,67,-0.0758,0.5422
site,fmi_101104,DJF,precip,anom_dt,67,-0.0491,0.6933
site,fmi_101104,DJF,precip_days,value,67,-0.1283,0.3008
site,fmi_101104,DJF,precip_days,anom,67,-0.1283,0.3008
site,fmi_101104,DJF,precip_days,anom_dt,67,-0.1118,0.3676
site,fmi_101104,DJF,rain_on_snow_days,value,67,-0.0906,0.4661
site,fmi_101104,DJF,rain_on_snow_days,anom,67,-0.0906,0.4661
site,fmi_101104,DJF,rain_on_snow_days,anom_dt,67,-0.0766,0.5377
site,fmi_101104,DJF,snow_cover_days,value,67,-0.0570,0.6466
site,fmi_101104,DJF,snow_cover_days,anom,67,-0.0570,0.6466
site,fmi_101104,DJF,snow_cover_days,anom_dt,67,-0.1198,0.3344
site,fmi_101104,DJF,snow_depth,value,67,0.0159,0.8982
site,fmi_101104,DJF,snow_depth,anom,67,0.0159,0.8982
site,fmi_101104,DJF,snow_depth,anom_dt,67,-0.0169,0.8920
site,fmi_101104,DJF,snow_max,value,67,0.0139,0.9114
site,fmi_101104,DJF,snow_max,anom,67,0.0139,0.9114
site,fmi_101104,DJF,snow_max,anom_dt,67,-0.0407,0.7437
site,fmi_101104,DJF,thaw_days,value,67,0.0001,0.9990
site,fmi_101104,DJF,thaw_days,anom,67,0.0001,0.9990
site,fmi_101104,DJF,thaw_days,anom_dt,67,0.0035,0.9776
site,fmi_101104,DJF,tmax_mean,value,67,0.0087,0.9442
site,fmi_101104,DJF,tmax_mean,anom,67,0.0097,0.9380
site,fmi_101104,DJF,tmax_mean,anom_dt,67,-0.0050,0.9679
site,fmi_101104,DJF,tmean,value,67,-0.0098,0.9371
site,fmi_101104,DJF,tmean,anom,67,-0.0098,0.9371
site,fmi_101104,DJF,tmean,anom_dt,67,-0.0153,0.9022
site,fmi_101104,DJF,tmin_mean,value,67,-0.0382,0.7587
site,fmi_101104,DJF,tmin_mean,anom,67,-0.0382,0.7587
site,fmi_101104,DJF,tmin_mean,anom_dt,67,-0.0280,0.8220
site,fmi_101104,JFM,frost_days,value,67,-0.0682,0.5833
site,fmi_101104,JFM,frost_days,anom,67,-0.0682,0.5833
site,fmi_101104,JFM,frost_days,anom_dt,67,-0.1338,0.2804
site,fmi_101104,JFM,ice_days,value,67,-0.0167,0.8935
site,fmi_101104,JFM,ice_days,anom,67,-0.0167,0.8935
site,fmi_101104,JFM,ice_days,anom_dt,67,-0.0853,0.4923
site,fmi_101104,JFM,precip,value,67,-0.0417,0.7373
site,fmi_101104,JFM,precip,anom,67,-0.0417,0.7373
site,fmi_101104,JFM,precip,anom_dt,67,-0.0065,0.9585
site,fmi_101104,JFM,precip_days,value,67,-0.0773,0.5343
site,fmi_101104,JFM,precip_days,anom,67,-0.0773,0.5343
site,fmi_101104,JFM,precip_days,anom_dt,67,-0.0554,0.6560
site,fmi_101104,JFM,rain_on_snow_days,value,67,0.0823,0.5079
site,fmi_101104,JFM,rain_on_snow_days,anom,67,0.0823,0.5079
site,fmi_101104,JFM,rain_on_snow_days,anom_dt,67,0.1244,0.3157
site,fmi_101104,JFM,snow_cover_days,value,67,-0.1031,0.4063
site,fmi_101104,JFM,snow_cover_days,anom,67,-0.1031,0.4063
site,fmi_101104,JFM,snow_cover_days,anom_dt,67,-0.1462,0.2379
site,fmi_101104,JFM,snow_depth,value,67,-0.0121,0.9228
site,fmi_101104,JFM,snow_depth,anom,67,-0.0121,0.9228
site,fmi_101104,JFM,snow_depth,anom_dt,67,-0.0501,0.6873
site,fmi_101104,JFM,snow_max,value,67,-0.0271,0.8278
site,fmi_101104,JFM,snow_max,anom,67,-0.0271,0.8278
site,fmi_101104,JFM,snow_max,anom_dt,67,-0.0813,0.5132
site,fmi_101104,JFM,thaw_days,value,67,0.0150,0.9041
site,fmi_101104,JFM,thaw_days,anom,67,0.0150,0.9041
site,fmi_101104,JFM,thaw_days,anom_dt,67,0.0852,0.4930
site,fmi_101104,JFM,tmax_mean,value,67,-0.0155,0.9006
site,fmi_101104,JFM,tmax_mean,anom,67,-0.0161,0.8971
site,fmi_101104,JFM,tmax_mean,anom_dt,67,0.0096,0.9388
site,fmi_101104,JFM,tmean,value,67,-0.0294,0.8135
site,fmi_101104,JFM,tmean,anom,67,-0.0294,0.8135
site,fmi_101104,JFM,tmean,anom_dt,67,-0.0220,0.8597
site,fmi_101104,JFM,tmin_mean,value,67,-0.0445,0.7204
site,fmi_101104,JFM,tmin_mean,anom,67,-0.0445,0.7204
site,fmi_101104,JFM,tmin_mean,anom_dt,67,-0.0410,0.7417
site,fmi_101104,NDJFM,frost_days,value,67,-0.0615,0.6211
site,fmi_101104,NDJFM,frost_days,anom,67,-0.0615,0.6211
site,fmi_101104,NDJFM,frost_days,anom_dt,67,-0.0898,0.4700
site,fmi_101104,NDJFM,ice_days,value,67,-0.0015,0.9905
site,fmi_101104,NDJFM,ice_days,anom,67,-0.0015,0.9905
site,fmi_101104,NDJFM,ice_days,anom_dt,67,-0.0158,0.8990
site,fmi_101104,NDJFM,precip,value,67,0.0066,0.9574
site,fmi_101104,NDJFM,precip,anom,67,0.0066,0.9574
site,fmi_101104,NDJFM,precip,anom_dt,67,0.0388,0.7552
site,fmi_101104,NDJFM,precip_days,value,67,0.0051,0.9674
site,fmi_101104,NDJFM,precip_days,anom,67,0.0051,0.9674
site,fmi_101104,NDJFM,precip_days,anom_dt,67,0.0350,0.7784
site,fmi_101104,NDJFM,rain_on_snow_days,value,67,0.0467,0.7073
site,fmi_101104,NDJFM,rain_on_snow_days,anom,67,0.0467,0.7073
site,fmi_101104,NDJFM,rain_on_snow_days,anom_dt,67,0.0389,0.7545
site,fmi_101104,NDJFM,snow_cover_days,value,67,-0.0676,0.5866
site,fmi_101104,NDJFM,snow_cover_days,anom,67,-0.0676,0.5866
site,fmi_101104,NDJFM,snow_cover_days,anom_dt,67,-0.0979,0.4308
site,fmi_101104,NDJFM,snow_depth,value,67,-0.0205,0.8690
site,fmi_101104,NDJFM,snow_depth,anom,67,-0.0205,0.8690
site,fmi_101104,NDJFM,snow_depth,anom_dt,67,-0.0626,0.6148
site,fmi_101104,NDJFM,snow_max,value,67,-0.0293,0.8142
site,fmi_101104,NDJFM,snow_max,anom,67,-0.0293,0.8142
site,fmi_101104,NDJFM,snow_max,anom_dt,67,-0.0810,0.5147
site,fmi_101104,NDJFM,thaw_days,value,67,-0.0026,0.9836
site,fmi_101104,NDJFM,thaw_days,anom,67,-0.0026,0.9836
site,fmi_101104,NDJFM,thaw_days,anom_dt,67,0.0183,0.8830
site,fmi_101104,NDJFM,tmax_mean,value,67,0.0184,0.8823
site,fmi_101104,NDJFM,tmax_mean,anom,67,0.0184,0.8823
site,fmi_101104,NDJFM,tmax_mean,anom_dt,67,0.0299,0.8100
site,fmi_101104,NDJFM,tmean,value,67,0.0171,0.8905
site,fmi_101104,NDJFM,tmean,anom,67,0.0171,0.8905
site,fmi_101104,NDJFM,tmean,anom_dt,67,0.0079,0.9491
site,fmi_101104,NDJFM,tmin_mean,value,67,0.0166,0.8937
site,fmi_101104,NDJFM,tmin_mean,anom,67,0.0161,0.8971
site,fmi_101104,NDJFM,tmin_mean,anom_dt,67,0.0046,0.9706
site,fmi_101118,DJF,frost_days,value,46,-0.0097,0.9488
site,fmi_101118,DJF,frost_days,anom,46,-0.0097,0.9488
site,fmi_101118,DJF,frost_days,anom_dt,46,-0.0191,0.9000
site,fmi_101118,DJF,ice_days,value,46,-0.1148,0.4473
site,fmi_101118,DJF,ice_days,anom,46,-0.1148,0.4473
site,fmi_101118,DJF,ice_days,anom_dt,46,-0.1137,0.4519
site,fmi_101118,DJF,precip,value,26,0.0195,0.9247
site,fmi_101118,DJF,precip,anom_dt,26,-0.0277,0.8932
site,fmi_101118,DJF,precip_days,value,26,0.0377,0.8547
site,fmi_101118,DJF,precip_days,anom_dt,26,0.0482,0.8151
site,fmi_101118,DJF,rain_on_snow_days,value,26,0.3207,0.1102
site,fmi_101118,DJF,rain_on_snow_days,anom_dt,26,0.2862,0.1564
site,fmi_101118,DJF,snow_cover_days,value,26,-0.2651,0.1907
site,fmi_101118,DJF,snow_cover_days,anom_dt,26,-0.2554,0.2080
site,fmi_101118,DJF,snow_depth,value,26,-0.0879,0.6695
site,fmi_101118,DJF,snow_depth,anom_dt,26,-0.1549,0.4500
site,fmi_101118,DJF,snow_max,value,26,-0.0905,0.6603
site,fmi_101118,DJF,snow_max,anom_dt,26,-0.1152,0.5752
site,fmi_101118,DJF,thaw_days,value,46,0.1112,0.4617
site,fmi_101118,DJF,thaw_days,anom,46,0.1112,0.4617
site,fmi_101118,DJF,thaw_days,anom_dt,46,0.1308,0.3862
site,fmi_101118,DJF,tmax_mean,value,46,0.0939,0.5346
site,fmi_101118,DJF,tmax_mean,anom,46,0.0939,0.5346
site,fmi_101118,DJF,tmax_mean,anom_dt,46,0.1274,0.3989
site,fmi_101118,DJF,tmean,value,46,0.0885,0.5586
site,fmi_101118,DJF,tmean,anom,46,0.0885,0.5586
site,fmi_101118,DJF,tmean,anom_dt,46,0.1102,0.4659
site,fmi_101118,DJF,tmin_mean,value,46,0.0373,0.8055
site,fmi_101118,DJF,tmin_mean,anom,46,0.0373,0.8055
site,fmi_101118,DJF,tmin_mean,anom_dt,46,0.0855,0.5722
site,fmi_101118,JFM,frost_days,value,46,-0.1966,0.1903
site,fmi_101118,JFM,frost_days,anom,46,-0.1966,0.1903
site,fmi_101118,JFM,frost_days,anom_dt,46,-0.2403,0.1077
site,fmi_101118,JFM,ice_days,value,46,-0.1700,0.2586
site,fmi_101118,JFM,ice_days,anom,46,-0.1700,0.2586
site,fmi_101118,JFM,ice_days,anom_dt,46,-0.1949,0.1943
site,fmi_101118,JFM,precip,value,26,-0.0250,0.9037
site,fmi_101118,JFM,precip,anom_dt,26,-0.0147,0.9432
site,fmi_101118,JFM,precip_days,value,26,-0.0528,0.7978
site,fmi_101118,JFM,precip_days,anom_dt,26,-0.0462,0.8228
site,fmi_101118,JFM,rain_on_snow_days,value,26,0.2736,0.1762
site,fmi_101118,JFM,rain_on_snow_days,anom_dt,26,0.2745,0.1747
site,fmi_101118,JFM,snow_cover_days,value,26,-0.2891,0.1521
site,fmi_101118,JFM,snow_cover_days,anom_dt,26,-0.2089,0.3058
site,fmi_101118,JFM,snow_depth,value,26,-0.1070,0.6029
site,fmi_101118,JFM,snow_depth,anom_dt,26,-0.1624,0.4280
site,fmi_101118,JFM,snow_max,value,26,-0.2220,0.2758
site,fmi_101118,JFM,snow_max,anom_dt,26,-0.2964,0.1415
site,fmi_101118,JFM,thaw_days,value,46,0.1796,0.2323
site,fmi_101118,JFM,thaw_days,anom,46,0.1796,0.2323
site,fmi_101118,JFM,thaw_days,anom_dt,46,0.2120,0.1573
site,fmi_101118,JFM,tmax_mean,value,46,0.1187,0.4319
site,fmi_101118,JFM,tmax_mean,anom,46,0.1187,0.4319
site,fmi_101118,JFM,tmax_mean,anom_dt,46,0.1314,0.3839
site,fmi_101118,JFM,tmean,value,46,0.0953,0.5287
site,fmi_101118,JFM,tmean,anom,46,0.0953,0.5287
site,fmi_101118,JFM,tmean,anom_dt,46,0.1301,0.3887
site,fmi_101118,JFM,tmin_mean,value,46,0.0528,0.7275
site,fmi_101118,JFM,tmin_mean,anom,46,0.0528,0.7275
site,fmi_101118,JFM,tmin_mean,anom_dt,46,0.0787,0.6031
site,fmi_101118,NDJFM,frost_days,value,46,-0.0926,0.5405
site,fmi_101118,NDJFM,frost_days,anom,46,-0.0926,0.5405
site,fmi_101118,NDJFM,frost_days,anom_dt,46,-0.1209,0.4235
site,fmi_101118,NDJFM,ice_days,value,46,-0.1178,0.4356
site,fmi_101118,NDJFM,ice_days,anom,46,-0.1178,0.4356
site,fmi_101118,NDJFM,ice_days,anom_dt,46,-0.1364,0.3659
site,fmi_101118,NDJFM,precip,value,26,0.2123,0.2978
site,fmi_101118,NDJFM,precip,anom_dt,26,0.1617,0.4300
site,fmi_101118,NDJFM,precip_days,value,26,0.1950,0.3399
site,fmi_101118,NDJFM,precip_days,anom_dt,26,0.1979,0.3324
site,fmi_101118,NDJFM,rain_on_snow_days,value,26,0.2841,0.1596
site,fmi_101118,NDJFM,rain_on_snow_days,anom_dt,26,0.2438,0.2301
site,fmi_101118,NDJFM,snow_cover_days,value,26,-0.2481,0.2217
site,fmi_101118,NDJFM,snow_cover_days,anom_dt,26,-0.2451,0.2274
site,fmi_101118,NDJFM,snow_depth,value,26,-0.1337,0.5150
site,fmi_101118,NDJFM,snow_depth,anom_dt,26,-0.2021,0.3222
site,fmi_101118,NDJFM,snow_max,value,26,-0.2178,0.2850
site,fmi_101118,NDJFM,snow_max,anom_dt,26,-0.2998,0.1367
site,fmi_101118,NDJFM,thaw_days,value,46,0.1268,0.4012
site,fmi_101118,NDJFM,thaw_days,anom,46,0.1268,0.4012
site,fmi_101118,NDJFM,thaw_days,anom_dt,46,0.1589,0.2914
site,fmi_101118,NDJFM,tmax_mean,value,46,0.1026,0.4976
